id,Temperature,Date
1,20.7,"1981-01-01 00:00:00"
2,17.9,"1981-01-02 00:00:00"
3,18.8,"1981-01-03 00:00:00"
4,14.6,"1981-01-04 00:00:00"
5,15.8,"1981-01-05 00:00:00"
6,15.8,"1981-01-06 00:00:00"
7,15.8,"1981-01-07 00:00:00"
8,17.4,"1981-01-08 00:00:00"
9,21.8,"1981-01-09 00:00:00"
10,20,"1981-01-10 00:00:00"
11,16.2,"1981-01-11 00:00:00"
12,13.3,"1981-01-12 00:00:00"
13,16.7,"1981-01-13 00:00:00"
14,21.5,"1981-01-14 00:00:00"
15,25,"1981-01-15 00:00:00"
16,20.7,"1981-01-16 00:00:00"
17,20.6,"1981-01-17 00:00:00"
18,24.8,"1981-01-18 00:00:00"
19,17.7,"1981-01-19 00:00:00"
20,15.5,"1981-01-20 00:00:00"
21,18.2,"1981-01-21 00:00:00"
22,12.1,"1981-01-22 00:00:00"
23,14.4,"1981-01-23 00:00:00"
24,16,"1981-01-24 00:00:00"
25,16.5,"1981-01-25 00:00:00"
26,18.7,"1981-01-26 00:00:00"
27,19.4,"1981-01-27 00:00:00"
28,17.2,"1981-01-28 00:00:00"
29,15.5,"1981-01-29 00:00:00"
30,15.1,"1981-01-30 00:00:00"
31,15.4,"1981-01-31 00:00:00"
32,15.3,"1981-02-01 00:00:00"
33,18.8,"1981-02-02 00:00:00"
34,21.9,"1981-02-03 00:00:00"
35,19.9,"1981-02-04 00:00:00"
36,16.6,"1981-02-05 00:00:00"
37,16.8,"1981-02-06 00:00:00"
38,14.6,"1981-02-07 00:00:00"
39,17.1,"1981-02-08 00:00:00"
40,25,"1981-02-09 00:00:00"
41,15,"1981-02-10 00:00:00"
42,13.7,"1981-02-11 00:00:00"
43,13.9,"1981-02-12 00:00:00"
44,18.3,"1981-02-13 00:00:00"
45,22,"1981-02-14 00:00:00"
46,22.1,"1981-02-15 00:00:00"
47,21.2,"1981-02-16 00:00:00"
48,18.4,"1981-02-17 00:00:00"
49,16.6,"1981-02-18 00:00:00"
50,16.1,"1981-02-19 00:00:00"
51,15.7,"1981-02-20 00:00:00"
52,16.6,"1981-02-21 00:00:00"
53,16.5,"1981-02-22 00:00:00"
54,14.4,"1981-02-23 00:00:00"
55,14.4,"1981-02-24 00:00:00"
56,18.5,"1981-02-25 00:00:00"
57,16.9,"1981-02-26 00:00:00"
58,17.5,"1981-02-27 00:00:00"
59,21.2,"1981-02-28 00:00:00"
60,17.8,"1981-03-01 00:00:00"
61,18.6,"1981-03-02 00:00:00"
62,17,"1981-03-03 00:00:00"
63,16,"1981-03-04 00:00:00"
64,13.3,"1981-03-05 00:00:00"
65,14.3,"1981-03-06 00:00:00"
66,11.4,"1981-03-07 00:00:00"
67,16.3,"1981-03-08 00:00:00"
68,16.1,"1981-03-09 00:00:00"
69,11.8,"1981-03-10 00:00:00"
70,12.2,"1981-03-11 00:00:00"
71,14.7,"1981-03-12 00:00:00"
72,11.8,"1981-03-13 00:00:00"
73,11.3,"1981-03-14 00:00:00"
74,10.6,"1981-03-15 00:00:00"
75,11.7,"1981-03-16 00:00:00"
76,14.2,"1981-03-17 00:00:00"
77,11.2,"1981-03-18 00:00:00"
78,16.9,"1981-03-19 00:00:00"
79,16.7,"1981-03-20 00:00:00"
80,8.1,"1981-03-21 00:00:00"
81,8,"1981-03-22 00:00:00"
82,8.8,"1981-03-23 00:00:00"
83,13.4,"1981-03-24 00:00:00"
84,10.9,"1981-03-25 00:00:00"
85,13.4,"1981-03-26 00:00:00"
86,11,"1981-03-27 00:00:00"
87,15,"1981-03-28 00:00:00"
88,15.7,"1981-03-29 00:00:00"
89,14.5,"1981-03-30 00:00:00"
90,15.8,"1981-03-31 00:00:00"
91,16.7,"1981-04-01 00:00:00"
92,16.8,"1981-04-02 00:00:00"
93,17.5,"1981-04-03 00:00:00"
94,17.1,"1981-04-04 00:00:00"
95,18.1,"1981-04-05 00:00:00"
96,16.6,"1981-04-06 00:00:00"
97,10,"1981-04-07 00:00:00"
98,14.9,"1981-04-08 00:00:00"
99,15.9,"1981-04-09 00:00:00"
100,13,"1981-04-10 00:00:00"
101,7.6,"1981-04-11 00:00:00"
102,11.5,"1981-04-12 00:00:00"
103,13.5,"1981-04-13 00:00:00"
104,13,"1981-04-14 00:00:00"
105,13.3,"1981-04-15 00:00:00"
106,12.1,"1981-04-16 00:00:00"
107,12.4,"1981-04-17 00:00:00"
108,13.2,"1981-04-18 00:00:00"
109,13.8,"1981-04-19 00:00:00"
110,10.6,"1981-04-20 00:00:00"
111,9,"1981-04-21 00:00:00"
112,10,"1981-04-22 00:00:00"
113,9.8,"1981-04-23 00:00:00"
114,11.5,"1981-04-24 00:00:00"
115,8.9,"1981-04-25 00:00:00"
116,7.4,"1981-04-26 00:00:00"
117,9.9,"1981-04-27 00:00:00"
118,9.3,"1981-04-28 00:00:00"
119,9.9,"1981-04-29 00:00:00"
120,7.4,"1981-04-30 00:00:00"
121,8.6,"1981-05-01 00:00:00"
122,11.9,"1981-05-02 00:00:00"
123,14,"1981-05-03 00:00:00"
124,8.6,"1981-05-04 00:00:00"
125,10,"1981-05-05 00:00:00"
126,13.5,"1981-05-06 00:00:00"
127,12,"1981-05-07 00:00:00"
128,10.5,"1981-05-08 00:00:00"
129,10.7,"1981-05-09 00:00:00"
130,8.1,"1981-05-10 00:00:00"
131,10.1,"1981-05-11 00:00:00"
132,10.6,"1981-05-12 00:00:00"
133,5.3,"1981-05-13 00:00:00"
134,6.6,"1981-05-14 00:00:00"
135,8.5,"1981-05-15 00:00:00"
136,11.2,"1981-05-16 00:00:00"
137,9.8,"1981-05-17 00:00:00"
138,5.9,"1981-05-18 00:00:00"
139,3.2,"1981-05-19 00:00:00"
140,2.1,"1981-05-20 00:00:00"
141,3.4,"1981-05-21 00:00:00"
142,5.4,"1981-05-22 00:00:00"
143,9.6,"1981-05-23 00:00:00"
144,11.5,"1981-05-24 00:00:00"
145,12.3,"1981-05-25 00:00:00"
146,12.6,"1981-05-26 00:00:00"
147,11,"1981-05-27 00:00:00"
148,11.2,"1981-05-28 00:00:00"
149,11.4,"1981-05-29 00:00:00"
150,11.8,"1981-05-30 00:00:00"
